_date,_song,_artist,_peak-rank,_weeks-on-board,_genres,_track,_uri,_danceability,_energy,_key,_loudness,_mode,_speechiness,_acousticness,_instrumentalness,_liveness,_valence,_tempo,_duration_ms,_time_signature,_chorus_hit,_sections,_target,year,id,keywords
2006-03-11,Control Myself,LL Cool J Featuring Jennifer Lopez,4,11,"['contemporary r&b', 'dance', 'dance-pop', 'electro house', 'electronic', 'latin', 'latin pop', 'pop', 'pop and chart', 'pop rap', 'reggaeton']",Control Myself,spotify:track:6RzpuVp06z70xIGG9etyUs,0.825,0.876,10.0,-6.556,0.0,0.211,0.00928,1.2e-05,0.205,0.48,120.066,233973.0,4.0,74.86477,8.0,1.0,2006,Control_Myself_by_LL_Cool_J_Featuring_Jennifer_Lopez,"contemporary r&b, dance, dance-pop, electro house, electronic, latin, latin pop, pop, pop and chart, pop rap, reggaeton"
2013-08-03,Red Nose,Sage The Gemini,52,20,['hip hop'],Red Nose,spotify:track:1KIQ0RscHwxXPJUvhuO5Bl,0.681,0.473,11.0,-5.733,0.0,0.449,0.414,0.0,0.0794,0.766,194.826,193200.0,4.0,31.00869,12.0,1.0,2013,Red_Nose_by_Sage_The_Gemini,hip hop
2018-05-26,Shoota,Playboi Carti Featuring Lil Uzi Vert,46,4,"['blackgaze', 'english', 'hip hop', 'rap']",Shoota,spotify:track:2BJSMvOGABRxokHKB0OI8i,0.674,0.649,1.0,-8.433,0.0,0.199,0.191,0.0,0.122,0.48,153.069,153800.0,4.0,20.12645,7.0,1.0,2018,Shoota_by_Playboi_Carti_Featuring_Lil_Uzi_Vert,"blackgaze, english, hip hop, rap"
2009-06-27,Living For The Night,George Strait,53,17,"['2008 universal fire victim', 'country', 'neo-traditionalist country']",Living For The Night,spotify:track:1BWBhzWgIL1eyNU02FfmVX,0.428,0.44,1.0,-6.48,1.0,0.0241,0.63,0.000862,0.116,0.265,78.463,221773.0,4.0,28.56227,9.0,1.0,2009,Living_For_The_Night_by_George_Strait,"2008 universal fire victim, country, neo-traditionalist country"
2020-03-07,RIP Lil Phat,YoungBoy Never Broke Again,80,1,['hip hop'],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020,RIP_Lil_Phat_by_YoungBoy_Never_Broke_Again,hip hop
2014-11-22,Shut Up And Dance,WALK THE MOON,4,53,"['indie rock', 'pop rock']",Shut Up And Dance,spotify:track:0kzw2tRyuL9rzipi5ntlIy,0.578,0.866,1.0,-3.804,1.0,0.0619,0.00701,0.0,0.257,0.619,128.038,199080.0,4.0,64.39539,9.0,1.0,2014,Shut_Up_And_Dance_by_WALK_THE_MOON,"indie rock, pop rock"
2013-01-26,Demons,Imagine Dragons,6,61,"['alternative rock', 'indie pop', 'indietronica', 'pop', 'pop rock', 'rock']",Demons,spotify:track:3LlAyCYU26dvFZBDUIMb7a,0.505,0.71,3.0,-3.015,1.0,0.0321,0.19,0.00025,0.329,0.428,89.938,175200.0,4.0,23.56628,8.0,1.0,2013,Demons_by_Imagine_Dragons,"alternative rock, indie pop, indietronica, pop, pop rock, rock"
2014-06-14,Trumpets,Jason Derulo,14,32,"['contemporary r&b', 'dance', 'dance-pop', 'electropop', 'english', 'pop', 'r&b', 'rock']",Trumpets,spotify:track:5KONnBIQ9LqCxyeSPin26k,0.635,0.691,0.0,-4.862,1.0,0.258,0.555,0.0,0.097,0.638,82.142,217419.0,4.0,25.16837,9.0,1.0,2014,Trumpets_by_Jason_Derulo,"contemporary r&b, dance, dance-pop, electropop, english, pop, r&b, rock"
2009-04-04,Always Strapped,Birdman Featuring Lil Wayne,54,17,"['as jailed', 'chopped and screwed', 'contemporary r&b', 'criminal', 'gangsta rap', 'hip hop', 'hip hop rnb and dance hall', 'lil wayne', 'pop rap', 'r&b', 'rap', 'rap rock', 'relic inn', 'southern hip hop', 'trap']",Always Strapped,spotify:track:0uiMSv1iUmIELMFnTmyyKX,0.664,0.608,1.0,-6.563,0.0,0.279,0.0693,5.41e-05,0.0836,0.43,82.481,208293.0,4.0,31.66017,8.0,1.0,2009,Always_Strapped_by_Birdman_Featuring_Lil_Wayne,"as jailed, chopped and screwed, contemporary r&b, criminal, gangsta rap, hip hop, hip hop rnb and dance hall, lil wayne, pop rap, r&b, rap, rap rock, relic inn, southern hip hop, trap"
2000-03-11,The Way You Love Me,Faith Hill,6,56,"['adult contemporary', 'christmas music', 'contemporary country', 'country', 'country pop', 'pop']",The Way You Love Me,spotify:track:6vgN6KGstss0GnBbKlMNK9,0.627,0.716,2.0,-7.175,1.0,0.0352,0.127,0.0,0.0344,0.734,101.99,186067.0,4.0,26.1471,12.0,1.0,2000,The_Way_You_Love_Me_by_Faith_Hill,"adult contemporary, christmas music, contemporary country, country, country pop, pop"
2004-11-13,"Awful, Beautiful Life",Darryl Worley,30,20,Unknown,"Awful, Beautiful Life",spotify:track:5uqbTKo8Ogq1sBQ3u940Xz,0.627,0.777,2.0,-6.91,1.0,0.0322,0.0189,1.09e-06,0.173,0.643,112.599,232800.0,4.0,35.66354,11.0,1.0,2004,"Awful,_Beautiful_Life_by_Darryl_Worley",Unknown
2019-09-21,I Know,Post Malone,53,1,"['english', 'hip hop']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2019,I_Know_by_Post_Malone,"english, hip hop"
2021-01-16,Girl Like Me,Black Eyed Peas X Shakira,67,13,"['a filk artist', 'conscious hip hop', 'dance-pop', 'electro house', 'electropop', 'fergie', 'hip hop', 'pop', 'pop and chart', 'pop rap', 'west coast hip hop', 'will i am']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2021,Girl_Like_Me_by_Black_Eyed_Peas_X_Shakira,"a filk artist, conscious hip hop, dance-pop, electro house, electropop, fergie, hip hop, pop, pop and chart, pop rap, west coast hip hop, will i am"
2000-11-18,Meanwhile Back At The Ranch,The Clark Family Experience,80,12,['country'],Meanwhile Back At The Ranch,spotify:track:2NpEN6jlCVuUBAJoptmaSF,0.585,0.84,7.0,-6.109,1.0,0.0324,0.0649,0.0,0.367,0.534,94.944,179467.0,4.0,18.12,8.0,1.0,2000,Meanwhile_Back_At_The_Ranch_by_The_Clark_Family_Experience,country
2018-07-28,Desperate Man,Eric Church,68,15,"['contemporary country', 'country', 'country pop', 'country rock']",Desperate Man,spotify:track:1vHeu2j2MpfMqqvcXKLtic,0.711,0.796,10.0,-5.87,1.0,0.0341,0.0716,0.0045,0.262,0.901,109.991,208733.0,4.0,32.48142,10.0,1.0,2018,Desperate_Man_by_Eric_Church,"contemporary country, country, country pop, country rock"
2018-07-28,Nico And The Niners,twenty one pilots,79,2,"['alternative hip hop', 'alternative rap', 'alternative rock', 'electropop', 'emo', 'hip hop', 'hip-hop', 'hip-hop/rap', 'indie', 'indie pop', 'indie rock', 'pop', 'pop rock', 'rap', 'rap rock', 'rock']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2018,Nico_And_The_Niners_by_twenty_one_pilots,"alternative hip hop, alternative rap, alternative rock, electropop, emo, hip hop, hip-hop, hip-hop/rap, indie, indie pop, indie rock, pop, pop rock, rap, rap rock, rock"
2016-10-15,Song For Another Time,Old Dominion,59,18,"['country', 'country rock']",Song For Another Time,spotify:track:7px4t7HGiuMUvFkEOpZEwp,0.497,0.805,11.0,-3.995,1.0,0.0332,0.125,0.0,0.167,0.696,166.048,191827.0,4.0,40.38049,8.0,1.0,2016,Song_For_Another_Time_by_Old_Dominion,"country, country rock"
2010-07-10,Won't Back Down,Eminem Featuring P!nk,62,1,"['contemporary r&b', 'dance-pop', 'electropop', 'music for soccer moms', 'pop', 'pop and chart', 'pop rock', 'sober', 'united states']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2010,Won't_Back_Down_by_Eminem_Featuring_P!nk,"contemporary r&b, dance-pop, electropop, music for soccer moms, pop, pop and chart, pop rock, sober, united states"
2004-07-31,Shake That Sh**,Shawnna Featuring Ludacris,63,14,"['american', 'dirty south', 'hip hop', 'hip hop rnb and dance hall', 'hip-hop', 'pop rap', 'rap', 'southern hip hop', 'trap rap']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2004,Shake_That_Sh**_by_Shawnna_Featuring_Ludacris,"american, dirty south, hip hop, hip hop rnb and dance hall, hip-hop, pop rap, rap, southern hip hop, trap rap"
2011-10-15,It Will Rain,Bruno Mars,3,29,"['a filk artist', 'contemporary r&b', 'funk', 'music for soccer moms', 'new wave', 'pop', 'pop rock', 'pop soul', 'r&b', 'relic inn', 'rock', 'soul', 'synth funk']",It Will Rain,spotify:track:0RUGuh2uSNFJpGMSsD1F5C,0.576,0.835,2.0,-6.826,1.0,0.0486,0.337,0.0,0.082,0.476,150.017,257720.0,4.0,29.79673,11.0,1.0,2011,It_Will_Rain_by_Bruno_Mars,"a filk artist, contemporary r&b, funk, music for soccer moms, new wave, pop, pop rock, pop soul, r&b, relic inn, rock, soul, synth funk"
