,date,song,artist,peak-rank,weeks-on-board
7441,2019-03-16,Whip,2 Chainz Featuring Travis Scott,75,1
7442,2019-03-16,Hear Me Calling,Juice WRLD,38,4
7443,2019-03-16,Wish You Were Gay,Billie Eilish,31,11
7444,2019-03-23,Fast,Juice WRLD,47,2
7445,2019-03-23,Empty,Juice WRLD,41,4
7446,2019-03-23,Undrunk,FLETCHER,61,6
7447,2019-03-23,Rumor,Lee Brice,25,20
7448,2019-03-23,My Bad,Khalid,55,3
7449,2019-03-23,Flaws And Sins,Juice WRLD,91,1
7450,2019-03-23,Calma,Pedro Capo X Farruko,71,20
7451,2019-03-23,I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,62,9
7452,2019-03-23,Here With Me,Marshmello Featuring CHVRCHES,31,16
7453,2019-03-23,Maze,Juice WRLD,65,1
7454,2019-03-30,Slow Dancing In The Dark,Joji,69,13
7455,2019-03-30,Numb Numb Juice,ScHoolboy Q,55,2
7456,2019-03-30,Sally Walker,Iggy Azalea,62,1
7457,2019-04-06,Confessions Of A Dangerous Mind,Logic,78,1
7458,2019-04-06,Pop Out,Polo G Featuring Lil Tjay,11,27
7459,2019-04-06,Don't Call Me Up,Mabel,66,10
7460,2019-04-06,Last Hurrah,Bebe Rexha,98,1
7461,2019-04-06,Tap,NAV Featuring Meek Mill,87,10
7462,2019-04-06,Price On My Head,NAV Featuring The Weeknd,72,1
7463,2019-04-13,Xanny,Billie Eilish,35,4
7464,2019-04-13,My Strange Addiction,Billie Eilish,43,4
7465,2019-04-13,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,26,11
7466,2019-04-13,All The Good Girls Go To Hell,Billie Eilish,46,7
7467,2019-04-13,Bad Guy,Billie Eilish,1,49
7468,2019-04-13,8,Billie Eilish,79,1
7469,2019-04-13,Last Time That I Checc'd,Nipsey Hussle Featuring YG,76,3
7470,2019-04-13,Dedication,Nipsey Hussle Featuring Kendrick Lamar,93,2
7471,2019-04-13,Suge,DaBaby,7,37
7472,2019-04-13,I Love You,Billie Eilish,53,1
7473,2019-04-13,God's Country,Blake Shelton,17,23
7474,2019-04-13,Ilomilo,Billie Eilish,62,1
7475,2019-04-13,Listen Before I Go,Billie Eilish,63,1
7476,2019-04-13,Monopoly,Ariana Grande & Victoria Monet,69,2
7477,2019-04-13,Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY,65,3
7478,2019-04-20,Cool,Jonas Brothers,27,17
7479,2019-04-20,Kill This Love,BLACKPINK,41,4
7480,2019-04-20,Don't Pretend,Khalid x SAFE,84,1
7481,2019-04-20,Bad Luck,Khalid,87,1
7482,2019-04-20,Right Back,Khalid Featuring A Boogie Wit da Hoodie,73,11
7483,2019-04-20,Inmortal,Aventura,95,1
7484,2019-04-20,Big Ole Freak,Megan Thee Stallion,65,12
7485,2019-04-20,Victory Lap,Nipsey Hussle Featuring Stacy Barthe,100,1
7486,2019-04-20,Outta My Head,Khalid With John Mayer,58,1
7487,2019-04-27,Sanguine Paradise,Lil Uzi Vert,28,16
7488,2019-04-27,Boy With Luv,BTS Featuring Halsey,8,8
7489,2019-04-27,Love Ain't,Eli Young Band,50,18
7490,2019-04-27,Make It Right,BTS Featuring Lauv,76,2
7491,2019-04-27,"Hey Look Ma, I Made It",Panic! At The Disco,16,22
7492,2019-04-27,That's A Rack,Lil Uzi Vert,76,5
7493,2019-04-27,Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May",66,1
7494,2019-04-27,SOS,Avicii Featuring Aloe Blacc,68,4
7495,2019-05-04,Earth,Lil Dicky,17,6
7496,2019-05-04,Slide,French Montana Featuring Blueface & Lil Tjay,90,1
7497,2019-05-04,Love Someone,Brett Eldredge,52,10
7498,2019-05-04,Shotta Flow,NLE Choppa,36,20
7499,2019-05-04,ME!,Taylor Swift Featuring Brendon Urie,2,20
7500,2019-05-04,Before I Let Go,Beyonce,65,16
7501,2019-05-11,CHopstix,ScHoolboy Q + Travis Scott,85,1
7502,2019-05-11,Light It Up,"Marshmello, Tyga & Chris Brown",90,1
7503,2019-05-11,Power Is Power,"SZA, The Weeknd & Travis Scott",90,2
7504,2019-05-11,Knockin' Boots,Luke Bryan,31,22
7505,2019-05-11,Love Me Anyway,P!nk Featuring Chris Stapleton,96,1
7506,2019-05-11,Stop Snitching,YG,98,1
7507,2019-05-11,Floating,ScHoolboy Q Featuring 21 Savage,67,1
7508,2019-05-11,Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,69,9
7509,2019-05-18,If I Can't Have You,Shawn Mendes,2,23
7510,2019-05-18,Homicide,Logic Featuring Eminem,5,6
7511,2019-05-18,Middle Child,PnB Rock & XXXTENTACION,91,1
7512,2019-05-18,All To Myself,Dan + Shay,31,20
7513,2019-05-18,Paradise,Bazzi,91,3
7514,2019-05-18,Die Young,Roddy Ricch,99,2
7515,2019-05-18,Truth Hurts,Lizzo,1,42
7516,2019-05-18,Beer Never Broke My Heart,Luke Combs,21,21
7517,2019-05-18,Go Loko,"YG, Tyga & Jon Z",49,19
7518,2019-05-25,I Don't Care,Ed Sheeran & Justin Bieber,2,39
7519,2019-05-25,Triggered,Jhene Aiko,51,4
7520,2019-05-25,Someone You Loved,Lewis Capaldi,1,54
7521,2019-05-25,Te Robare,Nicky Jam X Ozuna,91,6
7522,2019-05-25,Juice,Lizzo,82,4
7523,2019-05-25,Soltera,"Lunay, Daddy Yankee & Bad Bunny",66,17
7524,2019-06-01,Just Us,DJ Khaled Featuring SZA,43,13
7525,2019-06-01,You Stay,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",44,4
7526,2019-06-01,EARFQUAKE,"Tyler, The Creator",13,15
7527,2019-06-01,Nightmare,Halsey,15,11
7528,2019-06-01,Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,19,15
7529,2019-06-01,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,21,2
7530,2019-06-01,I Think,"Tyler, The Creator",51,1
7531,2019-06-01,What's Good,"Tyler, The Creator",85,1
7532,2019-06-01,What If I Never Get Over You,Lady Antebellum,40,21
7533,2019-06-01,Puppet,"Tyler, The Creator",88,1
7534,2019-06-01,Weather The Storm,DJ Khaled Featuring Meek Mill & Lil Baby,91,1
7535,2019-06-01,A Boy Is A Gun,"Tyler, The Creator",74,1
7536,2019-06-01,Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",57,1
7537,2019-06-01,Celebrate,DJ Khaled Featuring Travis Scott & Post Malone,52,1
7538,2019-06-01,New Magic Wand,"Tyler, The Creator",70,1
7539,2019-06-01,Igor's Theme,"Tyler, The Creator",67,1
7540,2019-06-01,Running Out Of Time,"Tyler, The Creator",65,1
7541,2019-06-08,Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,25,10
7542,2019-06-08,Easier,5 Seconds Of Summer,48,16
7543,2019-06-08,The London,"Young Thug, J. Cole & Travis Scott",12,20
7544,2019-06-08,Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo",78,6
7545,2019-06-08,HP,Maluma,96,1
7546,2019-06-08,Rearview Town,Jason Aldean,40,18
7547,2019-06-08,Some Of It,Eric Church,43,13
7548,2019-06-08,Isis,Joyner Lucas Featuring Logic,59,2
7549,2019-06-15,Never Really Over,Katy Perry,15,13
7550,2019-06-15,Press,Cardi B,16,16
7551,2019-06-15,La La Land,Bryce Vine Featuring YG,75,11
7552,2019-06-15,Ran$om,Lil Tecca,4,31
7553,2019-06-15,Under Enemy Arms,Trippie Redd,94,1
7554,2019-06-15,Raised On Country,Chris Young,54,13
7555,2019-06-15,Trampoline,SHAED,13,39
7556,2019-06-15,Shut Up About Politics,John Rich Featuring The Five,91,1
7557,2019-06-15,Mother's Daughter,Miley Cyrus,54,3
7558,2019-06-15,Call You Mine,The Chainsmokers & Bebe Rexha,56,14
7559,2019-06-15,The Search,NF,70,2
7560,2019-06-22,No Guidance,Chris Brown Featuring Drake,5,46
7561,2019-06-22,Please Tell Me,Future,87,1
7562,2019-06-22,Heaven,Avicii,83,1
7563,2019-06-22,Amor Genuino,Ozuna,92,1
7564,2019-06-22,Only Human,Jonas Brothers,18,36
7565,2019-06-22,XanaX Damage,Future,98,1
7566,2019-06-22,Government Official,Future,99,1
7567,2019-06-22,Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",34,20
7568,2019-06-22,Even Though I'm Leaving,Luke Combs,11,24
7569,2019-06-22,The Git Up,Blanco Brown,14,20
7570,2019-06-22,Callaita,Bad Bunny & Tainy,52,20
7571,2019-06-29,Omerta,Drake,35,2
7572,2019-06-29,You Need To Calm Down,Taylor Swift,2,21
7573,2019-06-29,Money In The Grave,Drake Featuring Rick Ross,7,23
7574,2019-06-29,Sanctuary,Joji,80,1
7575,2019-06-29,Rescue Me,Marshmello Featuring A Day To Remember,92,1
7576,2019-06-29,It's You,Ali Gatie,70,15
7577,2019-06-29,The Ones That Didn't Make It Back Home,Justin Moore,46,16
7578,2019-06-29,Down Bad,"Dreamville Featuring JID, Bas, J. Cole, EARTHGANG & Young Nudy",64,2
7579,2019-07-06,Senorita,Shawn Mendes & Camila Cabello,1,37
7580,2019-07-06,Panini,Lil Nas X,5,32
7581,2019-07-06,MEGATRON,Nicki Minaj,20,5
7582,2019-07-06,Rodeo,Lil Nas X & Cardi B Or Nas,22,9
7583,2019-07-06,Cash Shit,Megan Thee Stallion Featuring DaBaby,36,20
7584,2019-07-06,Summer Days,Martin Garrix Featuring Macklemore & Patrick Stump,100,1
7585,2019-07-06,One Thing Right,Marshmello & Kane Brown,36,23
7586,2019-07-06,Out The Mud,Lil Baby Featuring Future,70,3
7587,2019-07-13,Beautiful People,Ed Sheeran Featuring Khalid,13,26
7588,2019-07-13,When I Grow Up,NF,78,1
7589,2019-07-13,My Type,Saweetie,21,20
7590,2019-07-13,Lalala,Y2K & bbno$,55,21
7591,2019-07-13,Higher Love,Kygo X Whitney Houston,63,9
7592,2019-07-13,Don't Check On Me,Chris Brown Featuring Justin Bieber & Ink,67,1
7593,2019-07-13,Que Pretendes,J Balvin & Bad Bunny,65,5
7594,2019-07-20,Under The Sun,"Dreamville Featuring J. Cole, Lute & DaBaby",44,3
7595,2019-07-20,Goodbyes,Post Malone Featuring Young Thug,3,21
7596,2019-07-20,No Me Conoce,"Jhay Cortez, J Balvin & Bad Bunny",71,14
7597,2019-07-20,I Don't Know About You,Chris Lane,39,20
7598,2019-07-20,Costa Rica,"Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",75,1
7599,2019-07-20,BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars,60,2
7600,2019-07-27,Antisocial,Ed Sheeran & Travis Scott,37,4
7601,2019-07-27,Tip Of My Tongue,Kenny Chesney,73,20
7602,2019-07-27,Like A Rodeo,Kane Brown,90,1
7603,2019-07-27,Time,NF,41,20
7604,2019-07-27,Southbound,Carrie Underwood,64,13
7605,2019-07-27,Spirit,Beyonce,98,1
7606,2019-07-27,Best Part Of Me,Ed Sheeran Featuring YEBBA,99,1
7607,2019-07-27,Baguettes In The Face,"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",81,6
7608,2019-07-27,South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,49,12
7609,2019-07-27,Remember The Name,Ed Sheeran Featuring Eminem & 50 Cent,57,1
7610,2019-08-03,How Do You Sleep?,Sam Smith,24,20
7611,2019-08-03,Baby,Lil Baby & DaBaby,21,21
7612,2019-08-03,Hate Me,Ellie Goulding & Juice WRLD,56,20
7613,2019-08-03,Mood 4 Eva,"Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare",90,1
7614,2019-08-03,Ballin',Mustard & Roddy Ricch,11,44
7615,2019-08-03,Brown Skin Girl,"Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter",76,1
7616,2019-08-03,China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",43,18
7617,2019-08-03,The Archer,Taylor Swift,38,3
7618,2019-08-10,Gold Roses,Rick Ross Featuring Drake,39,3
7619,2019-08-10,Living,Dierks Bentley,51,16
7620,2019-08-10,Leave Me Alone,NF,85,1
7621,2019-08-10,All Day Long,Chance The Rapper Featuring John Legend,94,1
7622,2019-08-10,Do You Remember,Chance The Rapper Featuring Death Cab For Cutie,95,1
7623,2019-08-10,Daddy,Blueface & Rich The Kid,78,4
7624,2019-08-10,Hot Shower,Chance The Rapper Featuring MadeinTYO & DaBaby,58,8
7625,2019-08-10,Single Again,Big Sean,64,3
7626,2019-08-10,Takeaway,The Chainsmokers & ILLENIUM Featuring Lennon Stella,69,2
7627,2019-08-17,Boyfriend,Ariana Grande & Social House,8,12
7628,2019-08-17,Uno,Ambjaay,82,3
7629,2019-08-17,Club Paradise,Drake,85,1
7630,2019-08-17,We Were,Keith Urban,65,15
7631,2019-08-17,Fear Inoculum,Tool,93,1
7632,2019-08-17,Love You Too Late,Cole Swindell,49,14
7633,2019-08-17,Days In The East,Drake,95,1
7634,2019-08-17,What Happens In A Small Town,Brantley Gilbert + Lindsay Ell,53,14
7635,2019-08-17,Prayed For You,Matt Stell,36,20
7636,2019-08-17,How About Now,Drake,60,1
7637,2019-08-17,The Motion,Drake,61,1
7638,2019-08-17,Trust Issues,Drake,58,1
7639,2019-08-17,Queen Of Mean,Sarah Jeffery,49,8
7640,2019-08-17,Dreams Money Can Buy,Drake,68,1
7641,2019-08-24,Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",11,16
7642,2019-08-24,Small Talk,Katy Perry,81,1
7643,2019-08-24,Night Falls,"Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair",84,1
7644,2019-08-24,On Chill,Wale Featuring Jeremih,22,23
7645,2019-08-24,Snake Skin,Trippie Redd,87,1
7646,2019-08-24,Buy My Own Drinks,Runaway June,88,5
7647,2019-08-24,F.N,Lil Tjay,56,14
7648,2019-08-24,Baby Sitter,DaBaby Featuring Offset,59,20
7649,2019-08-24,Mac 10,Trippie Redd Featuring Lil Baby & Lil Duke,64,2
7650,2019-08-31,Motivation,Normani,33,10
7651,2019-08-31,Bad Bad Bad,Young Thug Featuring Lil Baby,32,9
7652,2019-08-31,Slide Away,Miley Cyrus,47,6
7653,2019-08-31,Hot,Young Thug Featuring Gunna,11,26
7654,2019-08-31,Lover,Taylor Swift,10,22
7655,2019-08-31,Did It Again,Lil Tecca,64,7
7656,2019-08-31,Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,39,21
7657,2019-08-31,Light It Up,Young Thug,82,1
7658,2019-08-31,Juicy,Doja Cat & Tyga,41,20
7659,2019-08-31,Lil Baby,Young Thug,84,1
7660,2019-08-31,Ecstasy,Young Thug Featuring Machine Gun Kelly,92,1
7661,2019-08-31,Every Little Thing,Russell Dickerson,50,12
7662,2019-08-31,Won't Be Late,Swae Lee Featuring Drake,75,1
7663,2019-08-31,What's The Move,Young Thug Featuring Lil Uzi Vert,55,1
7664,2019-08-31,Just How It Is,Young Thug,60,1
7665,2019-08-31,Surf,Young Thug Featuring Gunna,61,1
7666,2019-08-31,Sup Mate,Young Thug Featuring Future,70,1
7667,2019-09-07,I Forgot That You Existed,Taylor Swift,28,2
7668,2019-09-07,Cruel Summer,Taylor Swift,29,2
7669,2019-09-07,Paper Rings,Taylor Swift,45,1
7670,2019-09-07,The Man,Taylor Swift,23,8
7671,2019-09-07,Miss Americana & The Heartbreak Prince,Taylor Swift,49,1
7672,2019-09-07,I Think He Knows,Taylor Swift,51,1
7673,2019-09-07,Playing Games,Summer Walker,16,20
7674,2019-09-07,False God,Taylor Swift,77,1
7675,2019-09-07,One Man Band,Old Dominion,20,28
7676,2019-09-07,It's Nice To Have A Friend,Taylor Swift,92,1
7677,2019-09-07,Daylight,Taylor Swift,89,1
7678,2019-09-07,Good As Hell,Lizzo,3,30
7679,2019-09-07,Cornelia Street,Taylor Swift,57,1
7680,2019-09-07,London Boy,Taylor Swift,62,1
7681,2019-09-07,Afterglow,Taylor Swift,75,1
7682,2019-09-07,Death By A Thousand Cuts,Taylor Swift,67,1
7683,2019-09-07,Soon You'll Get Better,Taylor Swift Featuring Dixie Chicks,63,1
7684,2019-09-14,Circles,Post Malone,1,61
7685,2019-09-14,Out Of Luck,Lil Tecca,80,1
7686,2019-09-14,Shots,Lil Tecca,84,1
7687,2019-09-14,Bezerk,Big Sean Featuring A$AP Ferg & Hit-Boy,89,1
7688,2019-09-14,Good Vibes,Chris Janson,48,13
7689,2019-09-14,God Only Knows,for KING & COUNTRY,94,1
7690,2019-09-14,The Bones,Maren Morris,12,52
7691,2019-09-14,Love Me,Lil Tecca,97,1
7692,2019-09-14,La Cancion,J Balvin & Bad Bunny,84,8
7693,2019-09-14,Heat,Chris Brown Featuring Gunna,36,20
7694,2019-09-14,Doin' Time,Lana Del Rey,59,2
7695,2019-09-14,Babushka Boi,A$AP Rocky,69,1
7696,2019-09-21,Staring At The Sun,Post Malone Featuring SZA,34,2
7697,2019-09-21,I'm Gonna Be,Post Malone,33,2
7698,2019-09-21,A Thousand Bad Times,Post Malone,29,3
7699,2019-09-21,Allergic,Post Malone,37,2
7700,2019-09-21,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,8,20
7701,2019-09-21,Hollywood's Bleeding,Post Malone,15,6
7702,2019-09-21,Enemies,Post Malone Featuring DaBaby,16,18
7703,2019-09-21,Saint-Tropez,Post Malone,18,6
7704,2019-09-21,Die For Me,Post Malone Featuring Future & Halsey,20,5
7705,2019-09-21,On The Road,Post Malone Featuring Meek Mill & Lil Baby,22,4
7706,2019-09-21,223's,YNW Melly & 9lokknine,34,19
7707,2019-09-21,homecoming queen?,Kelsea Ballerini,65,13
7708,2019-09-21,I Know,Post Malone,53,1
7709,2019-09-21,Liar,Camila Cabello,52,11
7710,2019-09-21,Internet,Post Malone,58,1
7711,2019-09-21,Shameless,Camila Cabello,60,3
7712,2019-09-21,Myself,Post Malone,52,1
7713,2019-09-21,Self Control,YoungBoy Never Broke Again,50,11
7714,2019-09-28,Camelot,NLE Choppa,37,20
7715,2019-09-28,Graveyard,Halsey,34,20
7716,2019-09-28,Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey",13,7
7717,2019-09-28,Hot Girl Bummer,blackbear,11,42
7718,2019-09-28,"1, 2 Many",Luke Combs & Brooks & Dunn,97,1
7719,2019-09-28,Remember You Young,Thomas Rhett,53,18
7720,2019-09-28,Behind Barz,Drake,75,2
7721,2019-09-28,Mood Swings,A Boogie Wit da Hoodie,76,1
7722,2019-10-05,INTRO,DaBaby,13,6
7723,2019-10-05,Memories,Maroon 5,2,41
7724,2019-10-05,Adicto,"Tainy, Anuel AA & Ozuna",86,2
7725,2019-10-05,Stuck In A Dream,Lil Mosey x Gunna,62,4
7726,2019-10-05,Loco Contigo,"DJ Snake, J. Balvin & Tyga",95,2
7727,2019-10-12,TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,28,13
7728,2019-10-12,OFF THE RIP,DaBaby,47,1
7729,2019-10-12,iPHONE,DaBaby & Nicki Minaj,43,1
7730,2019-10-12,BOP,DaBaby,11,30
7731,2019-10-12,VIBEZ,DaBaby,21,20
7732,2019-10-12,POP STAR,DaBaby Featuring Kevin Gates,49,2
7733,2019-10-12,RAW SHIT,DaBaby Featuring Migos,51,2
7734,2019-10-12,Chicken Noodle Soup,j-hope Featuring Becky G.,81,1
7735,2019-10-12,Heartache Medication,Jon Pardi,42,20
7736,2019-10-12,By My Lonely,Kevin Gates,86,1
7737,2019-10-12,There He Go,DaBaby,89,1
7738,2019-10-12,GOSPEL,"DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",55,1
7739,2019-10-12,Writing On The Wall,"French Montana Featuring Post Malone, Cardi B & Rvssian",56,3
7740,2019-10-12,REALLY,DaBaby Featuring Stunna 4 Vegas,63,1
7741,2019-10-12,XXL,DaBaby,69,1
7742,2019-10-12,PROLLY HEARD,DaBaby,73,1
7743,2019-10-19,Come Thru,Summer Walker & Usher,42,19
7744,2019-10-19,HIGHEST IN THE ROOM,Travis Scott,1,22
7745,2019-10-19,"10,000 Hours",Dan + Shay & Justin Bieber,4,30
7746,2019-10-19,Bandit,Juice WRLD & YoungBoy Never Broke Again,10,20
7747,2019-10-19,Drunk Dialing...LODT,Summer Walker,79,1
7748,2019-10-19,Over It,Summer Walker,80,1
7749,2019-10-19,Nice To Meet Ya,Niall Horan,63,14
7750,2019-10-19,Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",60,15
7751,2019-10-19,Potential,Summer Walker,92,1
7752,2019-10-19,Dance Monkey,Tones And I,4,36
7753,2019-10-19,I'll Kill You,Summer Walker Featuring Jhene Aiko,61,3
7754,2019-10-19,Stretch You Out,Summer Walker Featuring A Boogie Wit da Hoodie,68,1
7755,2019-10-19,Body,Summer Walker,73,1
7756,2019-10-26,Lonely Child,YoungBoy Never Broke Again,44,7
7757,2019-10-26,Lights Up,Harry Styles,17,5
7758,2019-10-26,Time I'm On,YoungBoy Never Broke Again,79,1
7759,2019-10-26,Rich As Hell,YoungBoy Never Broke Again,79,2
7760,2019-10-26,Make No Sense,YoungBoy Never Broke Again,57,20
7761,2019-10-26,Carter Son,YoungBoy Never Broke Again,62,2
7762,2019-10-26,Kinfolks,Sam Hunt,34,21
7763,2019-10-26,Hot Now,YoungBoy Never Broke Again,66,5
7764,2019-10-26,All Dat,Moneybagg Yo X Megan Thee Stallion,70,4
7765,2019-10-26,In Control,YoungBoy Never Broke Again,73,2
7766,2019-11-02,Lose You To Love Me,Selena Gomez,1,23
7767,2019-11-02,Somebody,"Internet Money, Lil Tecca & A Boogie Wit da Hoodie",96,4
7768,2019-11-02,DHL,Frank Ocean,98,1
7769,2019-11-09,Everything We Need,Kanye West Featuring Ty Dolla $ign & Ant Clemons,33,1
7770,2019-11-09,Look At Her Now.,Selena Gomez,27,4
7771,2019-11-09,Every Hour,Kanye West Featuring Sunday Service Choir,45,1
7772,2019-11-09,God Is,Kanye West,36,1
7773,2019-11-09,On God,Kanye West,23,2
7774,2019-11-09,Follow God,Kanye West,7,6
7775,2019-11-09,Closed On Sunday,Kanye West,17,2
7776,2019-11-09,Selah,Kanye West,19,2
7777,2019-11-09,Use This Gospel,Kanye West Featuring Clipse & Kenny G,37,1
7778,2019-11-09,What She Wants Tonight,Luke Bryan,46,17
7779,2019-11-09,Water,Kanye West Featuring Ant Clemons,51,1
7780,2019-11-09,Start Wit Me,Roddy Ricch & Gunna,56,13
7781,2019-11-09,Hands On,Kanye West Featuring Fred Hammond,60,1
7782,2019-11-09,Jesus Is Lord,Kanye West,63,1
7783,2019-11-16,Roxanne,Arizona Zervas,4,26
7784,2019-11-16,Don't Start Now,Dua Lipa,2,52
7785,2019-11-16,Love Me More,Trippie Redd,79,2
7786,2019-11-16,In My Room,Frank Ocean,85,1
7787,2019-11-16,Ridin' Roads,Dustin Lynch,47,20
7788,2019-11-16,Easy,DaniLeigh Featuring Chris Brown,79,15
7789,2019-11-16,Big Boy Diamonds,Gucci Mane Featuring Kodak Black & London On Da Track,100,1
7790,2019-11-16,For My Daughter,Kane Brown,90,1
7791,2019-11-16,Immortal,21 Savage,55,2
7792,2019-11-16,It All Comes Out In The Wash,Miranda Lambert,70,2
7793,2019-11-23,Woah,Lil Baby,15,21
7794,2019-11-23,Yellow Hearts,Ant Saunders,81,8
7795,2019-11-23,Jerry Sprunger,Tory Lanez & T-Pain,44,10
7796,2019-11-23,Tusa,Karol G & Nicki Minaj,42,21
7797,2019-11-23,Show Me Love,Alicia Keys Featuring Miguel,90,1
7798,2019-11-23,Valentino,24kGoldn,92,1
7799,2019-11-23,Heart On Ice,Rod Wave,25,27
7800,2019-11-23,Better Together,Luke Combs,15,25
7801,2019-11-23,Everything I Wanted,Billie Eilish,8,33
7802,2019-11-30,Reply,A Boogie Wit da Hoodie Featuring Lil Uzi Vert,49,2
7803,2019-11-30,Beauty In The Benz,Tory Lanez Featuring Snoop Dogg,87,1
7804,2019-11-30,Up All Night,Khalid,89,1
7805,2019-11-30,We Back,Jason Aldean,62,16
7806,2019-11-30,Homesick,Kane Brown,35,21
7807,2019-11-30,Death,Trippie Redd Featuring DaBaby,59,7
7808,2019-11-30,Hell Right,Blake Shelton Featuring Trace Adkins,99,1
7809,2019-11-30,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,26,27
7810,2019-11-30,Falling,Trevor Daniel,17,38
7811,2019-11-30,None Of Your Concern,Jhene Aiko Featuring Big Sean,55,3
7812,2019-11-30,Watermelon Sugar,Harry Styles,1,39
7813,2019-11-30,The Take,Tory Lanez Featuring Chris Brown,66,1
7814,2019-12-07,Vete,Bad Bunny,33,18
7815,2019-12-07,Heartless,The Weeknd,1,23
7816,2019-12-07,Hate Me,Trippie Redd Featuring YoungBoy Never Broke Again,84,1
7817,2019-12-07,Cuban Links,Rod Wave & Kevin Gates,92,3
7818,2019-12-07,Into The Unknown,Panic! At The Disco,98,2
7819,2019-12-07,Show Yourself,Idina Menzel & Evan Rachel Wood,70,3
7820,2019-12-07,Candy,Doja Cat,86,6
7821,2019-12-07,Into The Unknown,Idina Menzel & AURORA,46,12
7822,2019-12-07,Who Needs Love,Trippie Redd,58,2
7823,2019-12-07,6 Kiss,Trippie Redd Featuring Juice WRLD & YNW Melly,60,4
7824,2019-12-07,Loyal,PARTYNEXTDOOR Featuring Drake,60,3
7825,2019-12-07,Suicidal,YNW Melly & Juice WRLD,20,20
7826,2019-12-14,Happy Holiday / The Holiday Season,Andy Williams,18,12
7827,2019-12-14,Blinding Lights,The Weeknd,1,90
7828,2019-12-14,Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie,73,7
7829,2019-12-14,No Idea,Don Toliver,43,11
7830,2019-12-14,Like It's Christmas,Jonas Brothers,44,4
7831,2019-12-21,Adore You,Harry Styles,6,50
7832,2019-12-21,The Box,Roddy Ricch,1,38
7833,2019-12-21,My Oh My,Camila Cabello Featuring DaBaby,12,27
7834,2019-12-21,Bad Vibes Forever,XXXTENTACION Featuring PnB Rock & Trippie Redd,85,1
7835,2019-12-21,Lord Above,Fat Joe & Dre Featuring Eminem & Mary J. Blige,97,1
7836,2019-12-21,Big Stepper,Roddy Ricch,98,1
7837,2019-12-21,BEST ON EARTH,Russ & BIA,46,20
7838,2019-12-21,Christmas Tree Farm,Taylor Swift,59,1
7839,2019-12-21,Peta,Roddy Ricch Featuring Meek Mill,72,4
7840,2019-12-28,Futsal Shuffle 2020,Lil Uzi Vert,5,11
7841,2019-12-28,Let Me Know (I Wonder Why Freestyle),Juice WRLD,78,3
7842,2019-12-28,Nobody But You,Blake Shelton Duet With Gwen Stefani,18,25
7843,2019-12-28,Famous Hoes,NLE Choppa,83,1
7844,2019-12-28,Cherry,Harry Styles,84,1
7845,2019-12-28,Golden,Harry Styles,57,20
7846,2019-12-28,She,Harry Styles,99,1
7847,2019-12-28,Falling,Harry Styles,62,1
7848,2019-12-28,Dirty Iyanna,YoungBoy Never Broke Again,67,1
7849,2020-01-04,Baby It's Cold Outside,Dean Martin,45,1
7850,2020-01-04,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,32,4
7851,2020-01-04,Slide,H.E.R. Featuring YG,43,20
7852,2020-01-04,Happy Xmas (War Is Over),John Legend,69,1
7853,2020-01-11,GANG GANG,JACKBOYS & Sheck Wes,48,2
7854,2020-01-11,Out West,JACKBOYS Featuring Young Thug,38,22
